2026-05-30 10:17:39,128 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:39,175 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:39,206 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:39,240 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:39,275 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:39,325 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:39,355 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:39,355 | CAMERA_MANAGER | INFO | c2 sent 80 frames
2026-05-30 10:17:39,385 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:39,400 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:39,400 | CAMERA_MANAGER | INFO | c3 sent 80 frames
2026-05-30 10:17:39,446 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:39,479 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:39,510 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:39,531 | CAMERA_MANAGER | INFO | Sending frame from c3
